,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,rostralmiddlefrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh
parsopercularis-lh,0.5641025641025641,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.10256410256410256
parstriangularis-rh,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
postcentral-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
postcentral-rh,0.0,0.05714285714285714,0.0,0.7428571428571429,0.0,0.0,0.0,0.2
rostralmiddlefrontal-lh,0.34146341463414637,0.0,0.0,0.0,0.5365853658536586,0.0,0.0,0.12195121951219512
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.8076923076923077,0.0
superiorparietal-rh,0.12,0.08,0.0,0.16,0.14,0.0,0.0,0.5
