,cuneus-lh,entorhinal-lh,frontalpole-lh,insula-rh,medialorbitofrontal-lh,pericalcarine-rh,temporalpole-lh,transversetemporal-rh
cuneus-lh,0.4117647058823529,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.23529411764705882
entorhinal-lh,0.05,0.8,0.0,0.05,0.0,0.0,0.0,0.1
frontalpole-lh,0.0,0.0,0.5609756097560976,0.0,0.0,0.43902439024390244,0.0,0.0
insula-rh,0.3939393939393939,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.24242424242424243
medialorbitofrontal-lh,0.0,0.0,0.038461538461538464,0.0,0.9230769230769231,0.038461538461538464,0.0,0.0
pericalcarine-rh,0.0,0.0,0.5128205128205128,0.0,0.0,0.48717948717948717,0.0,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
transversetemporal-rh,0.24324324324324326,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,0.5135135135135135
