,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-rh,precentral-rh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.12637362637362637,0.13186813186813187,0.13186813186813187,0.12637362637362637,0.13186813186813187,0.13186813186813187,0.13186813186813187,0.08791208791208792
parsopercularis-lh,0.12169312169312169,0.13227513227513227,0.13227513227513227,0.12169312169312169,0.13756613756613756,0.13227513227513227,0.13756613756613756,0.08465608465608465
parstriangularis-rh,0.12,0.13,0.135,0.125,0.14,0.135,0.135,0.08
postcentral-rh,0.12698412698412698,0.13227513227513227,0.13227513227513227,0.12698412698412698,0.13227513227513227,0.13227513227513227,0.13227513227513227,0.08465608465608465
precentral-rh,0.12,0.13,0.135,0.125,0.14,0.135,0.135,0.08
rostralmiddlefrontal-rh,0.12244897959183673,0.1326530612244898,0.1326530612244898,0.12244897959183673,0.1377551020408163,0.1326530612244898,0.1377551020408163,0.08163265306122448
superiortemporal-lh,0.12169312169312169,0.13227513227513227,0.13227513227513227,0.12169312169312169,0.13756613756613756,0.13227513227513227,0.13756613756613756,0.08465608465608465
superiortemporal-rh,0.12598425196850394,0.12598425196850394,0.12598425196850394,0.12598425196850394,0.12598425196850394,0.12598425196850394,0.12598425196850394,0.11811023622047244
