,Fp1,P8,TP10,PO8,P6,TP8,F6,AF8
Fp1,0.52046783625731,0.0,0.0,0.0,0.0,0.0,0.0,0.47953216374269003
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.3898573692551506,0.0,0.0,0.0,0.0,0.0,0.0,0.6101426307448494
