,caudalmiddlefrontal-lh,postcentral-lh,precentral-lh,precentral-rh,superiorparietal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-lh,0.21875,0.125,0.15625,0.09375,0.15625,0.09375,0.0,0.15625
postcentral-lh,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.0,0.18181818181818182
precentral-lh,0.12,0.12,0.16,0.12,0.08,0.16,0.04,0.2
precentral-rh,0.125,0.125,0.1875,0.125,0.0625,0.1875,0.0,0.1875
superiorparietal-lh,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385
superiortemporal-lh,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.36363636363636365,0.2727272727272727,0.13636363636363635
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
supramarginal-lh,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.07407407407407407,0.18518518518518517
