,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,parahippocampal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-rh
frontalpole-rh,0.2800658978583196,0.051070840197693576,0.051070840197693576,0.15485996705107083,0.011532125205930808,0.016474464579901153,0.2504118616144975,0.18451400329489293
isthmuscingulate-rh,0.064,0.478,0.112,0.126,0.014,0.02,0.06,0.126
lateralorbitofrontal-rh,0.0564373897707231,0.09700176366843033,0.38095238095238093,0.09700176366843033,0.012345679012345678,0.20634920634920634,0.05291005291005291,0.09700176366843033
parahippocampal-lh,0.12679738562091503,0.08366013071895424,0.07320261437908497,0.34509803921568627,0.009150326797385621,0.013071895424836602,0.09934640522875816,0.2496732026143791
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralanteriorcingulate-lh,0.02710843373493976,0.02710843373493976,0.3433734939759036,0.02710843373493976,0.02108433734939759,0.5,0.02710843373493976,0.02710843373493976
rostralanteriorcingulate-rh,0.22041420118343194,0.042899408284023666,0.042899408284023666,0.10798816568047337,0.010355029585798817,0.014792899408284023,0.4260355029585799,0.1346153846153846
temporalpole-rh,0.1517150395778364,0.08443271767810026,0.07387862796833773,0.25065963060686014,0.009234828496042216,0.013192612137203167,0.12401055408970976,0.2928759894459103
