,caudalanteriorcingulate-lh,frontalpole-lh,lateralorbitofrontal-lh,medialorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh
caudalanteriorcingulate-lh,0.11267605633802817,0.1267605633802817,0.1267605633802817,0.1267605633802817,0.1267605633802817,0.1267605633802817,0.1267605633802817,0.1267605633802817
frontalpole-lh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
lateralorbitofrontal-lh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
medialorbitofrontal-lh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
medialorbitofrontal-rh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
rostralanteriorcingulate-lh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
rostralanteriorcingulate-rh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
rostralmiddlefrontal-lh,0.1111111111111111,0.125,0.125,0.125,0.1388888888888889,0.125,0.125,0.125
