space,band,common_parcels,window,method,subject,session,condition,sigma_ratio,sigma_eig,ci_low,ci_high,ci_method,state
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-LEFT,0.978021978021978,1.0,0.945054945054945,1.0,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-RIGHT,1.0376690037016123,1.0000000000000009,1.0144899528487286,1.0678481857993527,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-LEFT,0.9763779527559056,1.0,0.940748031496063,1.0,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-RIGHT,1.0428741701069535,1.0000000000000002,1.015638075160134,1.0764020713215925,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION,1.007845490861795,1.0000000000000004,0.9797724489518368,1.0339240928996762,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY,1.0096260614314296,1.0,0.9781930533280984,1.0382010356607962,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,LEFT,0.9771999653889418,1.0,0.942901488275504,1.0,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,RIGHT,1.040271586904283,1.0000000000000004,1.0150640140044311,1.0721251285604727,bootstrap,critical
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,LEFT_vs_RIGHT,-0.063071621515341,0.0,-0.1292236402849687,-0.0150640140044311,bootstrap,delta
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,IMAGERY_vs_EXECUTION,0.0017805705696345,0.0,-0.0557310395715777,0.0584285867089594,bootstrap,delta
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,ME_LEFT_vs_ME_RIGHT,-0.0596470256796343,0.0,-0.1227932407444076,-0.0144899528487285,bootstrap,delta
parcel_space,broadband,True,full_window,nearest_vertex,S36,Sess02,MI_LEFT_vs_MI_RIGHT,-0.0664962173510479,0.0,-0.1356540398255294,-0.0156380751601339,bootstrap,delta
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-LEFT,0.8989016570492435,1.000000000000002,0.858057084735072,0.940971328562993,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-RIGHT,0.897490904452178,1.0000000000000004,0.8409447617966889,0.9476686520693908,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-LEFT,0.907496407172608,1.0,0.8599866553890435,0.9609592552617378,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-RIGHT,0.9117280122365082,1.0000000000000018,0.8562078857190321,0.9605533312826404,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION,0.8981962807507108,1.000000000000001,0.8495009232658804,0.9443199903161918,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY,0.909612209704558,1.0000000000000009,0.8580972705540377,0.9607562932721893,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,LEFT,0.9031990321109258,1.0000000000000009,0.8590218700620578,0.9509652919123656,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,RIGHT,0.9046094583443433,1.000000000000001,0.8485763237578605,0.9541109916760157,bootstrap,subcritical
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,LEFT_vs_RIGHT,-0.0014104262334173,0.0,-0.0950891216139577,0.1023889681545049,bootstrap,delta
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,IMAGERY_vs_EXECUTION,0.0114159289538472,0.0,-0.0862227197621541,0.1112553700063087,bootstrap,delta
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,ME_LEFT_vs_ME_RIGHT,0.0014107525970654,0.0,-0.0896115673343187,0.1000265667663041,bootstrap,delta
parcel_space,lf_mayer,True,full_window,nearest_vertex,S36,Sess02,MI_LEFT_vs_MI_RIGHT,-0.0042316050639003,0.0,-0.1005666758935969,0.1047513695427057,bootstrap,delta
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-LEFT,1.003203488753361,1.000000000000001,0.8679206833234966,1.152225176650928,bootstrap,critical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-RIGHT,1.081527314121996,1.0000000000000004,0.938171897183531,1.3142445528439683,bootstrap,supercritical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-LEFT,0.8926330518796272,0.9999999999999992,0.81603090972954,0.9656486293386978,bootstrap,subcritical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY-RIGHT,1.0026473410976742,1.0000000000000022,0.8848314147700246,1.133300471668084,bootstrap,critical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION,1.0423654014376784,1.0000000000000009,0.9030462902535138,1.2332348647474485,bootstrap,supercritical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MOTOR_IMAGERY,0.9476401964886508,1.0000000000000009,0.8504311622497822,1.049474550503391,bootstrap,subcritical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,LEFT,0.947918270316494,1.0000000000000002,0.8419757965265182,1.0589369029948128,bootstrap,critical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,RIGHT,1.042087327609835,1.000000000000001,0.9115016559767778,1.2237725122560263,bootstrap,supercritical
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,LEFT_vs_RIGHT,-0.0941690572933409,0.0,-0.3817967157295081,0.147435247018035,bootstrap,delta
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,IMAGERY_vs_EXECUTION,-0.0947252049490277,0.0,-0.382803702497666,0.1464282602498771,bootstrap,delta
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,ME_LEFT_vs_ME_RIGHT,-0.0783238253686349,0.0,-0.4463238695204717,0.2140532794673969,bootstrap,delta
parcel_space,resp,True,full_window,nearest_vertex,S36,Sess02,MI_LEFT_vs_MI_RIGHT,-0.110014289218047,0.0,-0.3172695619385441,0.0808172145686731,bootstrap,delta
parcel_space,slow_hrf,True,full_window,nearest_vertex,S36,Sess02,MOTOR_EXECUTION-LEFT,0.9079631535597924,1.000000000000001,0.8612692675205281,0.9629497827569256,bootstrap,subcritical
