,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-lh,frontalpole-rh,insula-lh,insula-rh,paracentral-lh,parahippocampal-rh
caudalanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
caudalanteriorcingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
paracentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
