,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
CP2,0.0,0.0,0.0,0.0,0.1076923076923077,0.005128205128205128,0.0,0.015384615384615385,0.0,0.0,0.0,0.07179487179487179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.23076923076923078,0.0,0.0,0.0,0.041025641025641026,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.2358974358974359,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.041025641025641026,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020512820512820513,0.0
Cz,0.0,0.0,0.011984021304926764,0.0,0.0,0.0,0.0,0.0,0.0,0.010652463382157125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07323568575233022,0.08122503328894808,0.0,0.0,0.0,0.07989347536617843,0.03595206391478029,0.0,0.0,0.0,0.0692410119840213,0.05992010652463382,0.0,0.0,0.07989347536617843,0.0,0.0,0.08122503328894808,0.0,0.08122503328894808,0.0,0.08122503328894808,0.0,0.0,0.07989347536617843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426098535286285,0.0,0.05992010652463382,0.0,0.07190412782956059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.020356234096692113,0.0,0.0,0.0,0.0,0.0,0.0,0.020356234096692113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06870229007633588,0.06870229007633588,0.0,0.0,0.0,0.06870229007633588,0.06615776081424936,0.0,0.0,0.0,0.06870229007633588,0.06870229007633588,0.0,0.0,0.06870229007633588,0.0,0.0,0.06870229007633588,0.0,0.06870229007633588,0.0,0.06870229007633588,0.0,0.0,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06870229007633588,0.0,0.06870229007633588,0.0,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.08974358974358974,0.01282051282051282,0.0,0.038461538461538464,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974358974358974,0.08974358974358974,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.012587412587412588,0.0,0.0,0.0,0.0,0.0,0.0,0.011188811188811189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.07412587412587412,0.0,0.0,0.0,0.07552447552447553,0.03776223776223776,0.0,0.0,0.0,0.07832167832167833,0.06013986013986014,0.0,0.0,0.07832167832167833,0.0,0.0,0.07972027972027972,0.0,0.07972027972027972,0.0,0.07552447552447553,0.0,0.0,0.07972027972027972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044755244755244755,0.0,0.06293706293706294,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.013201320132013201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07425742574257425,0.07425742574257425,0.0,0.0,0.0,0.07425742574257425,0.04455445544554455,0.0,0.0,0.0,0.06765676567656766,0.07260726072607261,0.0,0.0,0.07425742574257425,0.0,0.0,0.07425742574257425,0.0,0.07425742574257425,0.0,0.07425742574257425,0.0,0.0,0.07425742574257425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052805280528052806,0.0,0.06930693069306931,0.0,0.07095709570957096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0847457627118644,0.005649717514124294,0.0,0.01694915254237288,0.0,0.0,0.0,0.05649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954802259887006,0.15254237288135594,0.0,0.0,0.0,0.04519774011299435,0.0,0.0,0.0,0.0,0.2937853107344633,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.1807909604519774,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.05649717514124294,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022598870056497175,0.0
AF7,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.01045751633986928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718954248366013,0.07973856209150326,0.0,0.0,0.0,0.07973856209150326,0.03529411764705882,0.0,0.0,0.0,0.07058823529411765,0.058823529411764705,0.0,0.0,0.08104575163398693,0.0,0.0,0.08235294117647059,0.0,0.08235294117647059,0.0,0.08104575163398693,0.0,0.0,0.08104575163398693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04183006535947712,0.0,0.058823529411764705,0.0,0.07320261437908497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.011464968152866241,0.0,0.0,0.0,0.0,0.0,0.0,0.01019108280254777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07006369426751592,0.08152866242038216,0.0,0.0,0.0,0.07770700636942675,0.034394904458598725,0.0,0.0,0.0,0.07133757961783439,0.05732484076433121,0.0,0.0,0.08025477707006369,0.0,0.0,0.08535031847133757,0.0,0.08662420382165605,0.0,0.08280254777070063,0.0,0.0,0.08152866242038216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04076433121019108,0.0,0.05732484076433121,0.0,0.07133757961783439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.09859154929577464,0.014084507042253521,0.0,0.04225352112676056,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09859154929577464,0.09859154929577464,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.0
