,frontalpole-lh,frontalpole-rh,fusiform-lh,insula-lh,isthmuscingulate-rh,paracentral-lh,parahippocampal-lh,rostralanteriorcingulate-rh
frontalpole-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-lh,0.0,0.0,0.35,0.0,0.26666666666666666,0.075,0.30833333333333335,0.0
insula-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.2275449101796407,0.0,0.3377245508982036,0.17485029940119762,0.25988023952095807,0.0
paracentral-lh,0.0,0.0,0.11134903640256959,0.0,0.3083511777301927,0.41113490364025695,0.16916488222698073,0.0
parahippocampal-lh,0.0,0.0,0.28683181225554105,0.0,0.28552803129074317,0.10560625814863103,0.3220338983050847,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
