,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-rh,superiorparietal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
inferiorparietal-rh,0.1320754716981132,0.12264150943396226,0.11320754716981132,0.14150943396226415,0.11320754716981132,0.14150943396226415,0.10377358490566038,0.1320754716981132
parsopercularis-lh,0.1346153846153846,0.125,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.1346153846153846,0.10576923076923077,0.1346153846153846
parstriangularis-rh,0.13,0.13,0.12,0.13,0.12,0.13,0.11,0.13
rostralmiddlefrontal-rh,0.1308411214953271,0.12149532710280374,0.11214953271028037,0.14953271028037382,0.11214953271028037,0.14018691588785046,0.102803738317757,0.1308411214953271
superiorparietal-lh,0.13,0.13,0.12,0.13,0.12,0.13,0.11,0.13
superiortemporal-lh,0.1308411214953271,0.12149532710280374,0.11214953271028037,0.14953271028037382,0.11214953271028037,0.14018691588785046,0.102803738317757,0.1308411214953271
superiortemporal-rh,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.12631578947368421,0.11578947368421053,0.12631578947368421
supramarginal-lh,0.1320754716981132,0.12264150943396226,0.11320754716981132,0.14150943396226415,0.11320754716981132,0.14150943396226415,0.10377358490566038,0.1320754716981132
