,frontalpole-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-rh,medialorbitofrontal-rh,parahippocampal-rh,pericalcarine-rh,rostralanteriorcingulate-rh
frontalpole-rh,0.2,0.2076923076923077,0.2,0.0,0.2,0.0,0.0,0.19230769230769232
lateralorbitofrontal-lh,0.2,0.208,0.2,0.0,0.2,0.0,0.0,0.192
lateralorbitofrontal-rh,0.2,0.2076923076923077,0.2,0.0,0.2,0.0,0.0,0.19230769230769232
lingual-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.2,0.2076923076923077,0.2,0.0,0.2,0.0,0.0,0.19230769230769232
parahippocampal-rh,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rostralanteriorcingulate-rh,0.20300751879699247,0.19548872180451127,0.20300751879699247,0.0,0.20300751879699247,0.0,0.0,0.19548872180451127
