,bankssts-lh,insula-lh,insula-rh,isthmuscingulate-rh,medialorbitofrontal-rh,parahippocampal-lh,posteriorcingulate-rh,rostralanteriorcingulate-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
insula-rh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
isthmuscingulate-rh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
medialorbitofrontal-rh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
parahippocampal-lh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
posteriorcingulate-rh,0.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814
rostralanteriorcingulate-rh,0.0,0.15,0.15,0.15,0.15,0.15,0.1,0.15
