,bankssts-lh,insula-lh,insula-rh,isthmuscingulate-rh,medialorbitofrontal-rh,parahippocampal-lh,posteriorcingulate-rh,rostralanteriorcingulate-rh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,0.15,0.15,0.15,0.15,0.14166666666666666,0.11666666666666667,0.14166666666666666
insula-rh,0.0,0.15,0.15,0.15,0.15,0.14166666666666666,0.11666666666666667,0.14166666666666666
isthmuscingulate-rh,0.0,0.1504424778761062,0.1504424778761062,0.1504424778761062,0.1504424778761062,0.1415929203539823,0.11504424778761062,0.1415929203539823
medialorbitofrontal-rh,0.0,0.15,0.15,0.15,0.15,0.14166666666666666,0.11666666666666667,0.14166666666666666
parahippocampal-lh,0.0,0.15,0.15,0.15,0.15,0.14166666666666666,0.11666666666666667,0.14166666666666666
posteriorcingulate-rh,0.0,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.2222222222222222,0.12962962962962962
rostralanteriorcingulate-rh,0.0,0.15,0.15,0.15,0.15,0.14166666666666666,0.11666666666666667,0.14166666666666666
