,bankssts-lh,bankssts-rh,entorhinal-lh,frontalpole-lh,frontalpole-rh,insula-lh,rostralanteriorcingulate-rh,transversetemporal-rh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankssts-rh,0.0,0.6270096463022508,0.0,0.0,0.0,0.0,0.0,0.3729903536977492
entorhinal-lh,0.0,0.0,0.9793103448275862,0.0,0.0,0.0,0.020689655172413793,0.0
frontalpole-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.0,0.0,0.6321428571428571,0.0,0.3678571428571429,0.0
insula-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.020161290322580645,0.0,0.3911290322580645,0.0,0.5887096774193549,0.0
transversetemporal-rh,0.0,0.31871345029239767,0.0,0.0,0.0,0.0,0.0,0.6812865497076024
