,caudalmiddlefrontal-rh,inferiorparietal-rh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorfrontal-lh,superiorfrontal-rh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-rh,0.5333333333333333,0.17777777777777778,0.0,0.0,0.2,0.0,0.08888888888888889,0.0
inferiorparietal-rh,0.17307692307692307,0.40384615384615385,0.0,0.0,0.2692307692307692,0.0,0.15384615384615385,0.0
parstriangularis-rh,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.8157894736842105,0.0,0.18421052631578946,0.0,0.0
superiorfrontal-lh,0.13157894736842105,0.15789473684210525,0.0,0.0,0.5789473684210527,0.0,0.13157894736842105,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.3,0.0,0.6333333333333333,0.0,0.06666666666666667
superiortemporal-rh,0.08,0.18,0.08,0.0,0.24,0.0,0.42,0.0
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
