,FT9,FC1,P7,FT10,AF3,CPz,C6,AF8
FT9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.35135135135135137,0.07722007722007722
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6,0.0,0.0,0.3875,0.0,0.0,0.0,0.45416666666666666,0.15833333333333333
AF8,0.0,0.0,0.08148148148148149,0.0,0.0,0.0,0.14814814814814814,0.7703703703703704
