,Fp1,P3,P8,TP10,CP3,P1,P5,PO3
Fp1,0.8108108108108109,0.0,0.14864864864864866,0.04054054054054054,0.0,0.0,0.0,0.0
P3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.13333333333333333,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0
TP10,0.04395604395604396,0.0,0.0,0.9560439560439561,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
P1,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
P5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
PO3,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
