,F7,FT9,CP1,F4,AF7,AFz,CPz,AF8
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.325,0.325,0.35,0.0,0.0,0.0,0.0
CP1,0.0,0.325,0.325,0.35,0.0,0.0,0.0,0.0
F4,0.0,0.325,0.325,0.35,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.5277777777777778,0.4722222222222222,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
