,F7,FT10,F4,AF7,AF3,AF8,AF4,FCz
F7,0.2857142857142857,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.35714285714285715
FT10,0.14285714285714285,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.39285714285714285
F4,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.3684210526315789,0.0,0.631578947368421,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCz,0.16,0.44,0.0,0.0,0.0,0.0,0.0,0.4
