,FT9,P7,Oz,P8,CP6,FT10,CPz,AF8
FT9,0.25,0.25,0.21875,0.0,0.0,0.0,0.28125,0.0
P7,0.11320754716981132,0.37735849056603776,0.09433962264150944,0.0,0.0,0.0,0.41509433962264153,0.0
Oz,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.0,0.0,0.0,0.25925925925925924,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25
CPz,0.11764705882352941,0.3235294117647059,0.10294117647058823,0.0,0.0,0.0,0.45588235294117646,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444
