,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,precentral-lh,precentral-rh,superiorparietal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parstriangularis-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
