,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,parstriangularis-rh,superiorfrontal-lh,superiorparietal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-lh,0.3111111111111111,0.0,0.2,0.26666666666666666,0.0,0.0,0.2222222222222222,0.0
caudalmiddlefrontal-rh,0.0,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365
parstriangularis-rh,0.2727272727272727,0.0,0.26262626262626265,0.23232323232323232,0.0,0.0,0.23232323232323232,0.0
superiorfrontal-lh,0.2578125,0.0,0.1796875,0.328125,0.0,0.0,0.234375,0.0
superiorparietal-lh,0.0,0.02,0.0,0.0,0.94,0.02,0.0,0.02
superiortemporal-lh,0.0,0.16666666666666666,0.0,0.0,0.0,0.4444444444444444,0.16666666666666666,0.2222222222222222
superiortemporal-rh,0.24193548387096775,0.0,0.18548387096774194,0.25806451612903225,0.0,0.016129032258064516,0.29838709677419356,0.0
supramarginal-lh,0.0,0.25,0.0,0.0,0.0,0.4166666666666667,0.0,0.3333333333333333
