,entorhinal-lh,fusiform-lh,inferiortemporal-lh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,parahippocampal-lh,precuneus-lh,temporalpole-lh
entorhinal-lh,0.5217391304347826,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0
fusiform-lh,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091
inferiortemporal-lh,0.1111111111111111,0.18518518518518517,0.4444444444444444,0.07407407407407407,0.0,0.1111111111111111,0.0,0.07407407407407407
lateralorbitofrontal-lh,0.04,0.16,0.16,0.32,0.0,0.32,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.35294117647058826,0.0
parahippocampal-lh,0.0,0.17391304347826086,0.17391304347826086,0.2608695652173913,0.0,0.391304347826087,0.0,0.0
precuneus-lh,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
