,entorhinal-lh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,temporalpole-lh,temporalpole-rh
entorhinal-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.2,0.0,0.2,0.225,0.2,0.0,0.175
frontalpole-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.2,0.0,0.2,0.22857142857142856,0.2,0.0,0.17142857142857143
rostralanteriorcingulate-rh,0.0,0.2,0.0,0.2,0.22857142857142856,0.2,0.0,0.17142857142857143
rostralmiddlefrontal-lh,0.0,0.2,0.0,0.2,0.225,0.2,0.0,0.175
temporalpole-lh,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0
temporalpole-rh,0.0,0.21428571428571427,0.0,0.19047619047619047,0.19047619047619047,0.21428571428571427,0.0,0.19047619047619047
