,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiortemporal-lh,supramarginal-lh
caudalmiddlefrontal-lh,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0
parsopercularis-lh,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.3
parstriangularis-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.35294117647058826,0.0,0.0,0.29411764705882354,0.0,0.35294117647058826,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
superiorfrontal-lh,0.4117647058823529,0.0,0.0,0.23529411764705882,0.0,0.35294117647058826,0.0,0.0
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-lh,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
