,Fp1,Fz,T8,F8,Fp2,AF7,AF8,FCz
Fp1,0.2901960784313726,0.0,0.0,0.0,0.2784313725490196,0.13725490196078433,0.29411764705882354,0.0
Fz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.288,0.0,0.0,0.0,0.284,0.14,0.288,0.0
AF7,0.25089605734767023,0.0,0.0,0.0,0.25089605734767023,0.24731182795698925,0.25089605734767023,0.0
AF8,0.2846299810246679,0.0,0.0,0.0,0.2713472485768501,0.13282732447817835,0.3111954459203036,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
