,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorfrontal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-lh,0.21739130434782608,0.2608695652173913,0.0,0.2608695652173913,0.2608695652173913,0.0,0.0,0.0
parsopercularis-lh,0.2,0.28,0.0,0.28,0.24,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.4186046511627907,0.0,0.0,0.19767441860465115,0.18604651162790697,0.19767441860465115
rostralmiddlefrontal-lh,0.2,0.28,0.0,0.28,0.24,0.0,0.0,0.0
superiorfrontal-lh,0.13513513513513514,0.1891891891891892,0.0,0.1891891891891892,0.4864864864864865,0.0,0.0,0.0
superiortemporal-lh,0.0,0.0,0.3076923076923077,0.0,0.0,0.36538461538461536,0.3269230769230769,0.0
superiortemporal-rh,0.0,0.0,0.2978723404255319,0.0,0.0,0.3617021276595745,0.3404255319148936,0.0
supramarginal-lh,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.68
