,isthmuscingulate-rh,lateraloccipital-lh,lingual-lh,parahippocampal-rh,pericalcarine-lh,posteriorcingulate-rh,precuneus-lh,superiorparietal-lh
isthmuscingulate-rh,0.1308411214953271,0.12149532710280374,0.1308411214953271,0.11214953271028037,0.12149532710280374,0.12149532710280374,0.1308411214953271,0.1308411214953271
lateraloccipital-lh,0.1320754716981132,0.12264150943396226,0.1320754716981132,0.10377358490566038,0.12264150943396226,0.12264150943396226,0.1320754716981132,0.1320754716981132
lingual-lh,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13
parahippocampal-rh,0.125,0.1125,0.125,0.1625,0.1125,0.1125,0.125,0.125
pericalcarine-lh,0.13392857142857142,0.125,0.125,0.09821428571428571,0.125,0.125,0.13392857142857142,0.13392857142857142
posteriorcingulate-rh,0.1320754716981132,0.12264150943396226,0.1320754716981132,0.10377358490566038,0.12264150943396226,0.12264150943396226,0.1320754716981132,0.1320754716981132
precuneus-lh,0.1308411214953271,0.12149532710280374,0.1308411214953271,0.11214953271028037,0.12149532710280374,0.12149532710280374,0.1308411214953271,0.1308411214953271
superiorparietal-lh,0.1308411214953271,0.12149532710280374,0.1308411214953271,0.11214953271028037,0.12149532710280374,0.12149532710280374,0.1308411214953271,0.1308411214953271
