,Fp1,TP10,T8,AFz,F1,FC3,AF8,AF4
Fp1,0.26666666666666666,0.19166666666666668,0.0,0.2708333333333333,0.0,0.0,0.0,0.2708333333333333
TP10,0.25136612021857924,0.2459016393442623,0.0,0.25136612021857924,0.0,0.0,0.0,0.25136612021857924
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.2644628099173554,0.19008264462809918,0.0,0.2768595041322314,0.0,0.0,0.0,0.26859504132231404
F1,0.0,0.0,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.1891891891891892,0.8108108108108109,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.26639344262295084,0.1885245901639344,0.0,0.27459016393442626,0.0,0.0,0.0,0.27049180327868855
