,Fp1,Fz,P3,P8,CP3,P1,P5,PO3
Fp1,0.8703703703703703,0.07407407407407407,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
Fz,0.03278688524590164,0.9672131147540983,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P8,0.09523809523809523,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
P1,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
P5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
PO3,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
