,bankssts-lh,frontalpole-lh,frontalpole-rh,inferiortemporal-lh,lateraloccipital-lh,middletemporal-lh,parahippocampal-lh,rostralanteriorcingulate-rh
bankssts-lh,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
frontalpole-lh,0.0,0.21739130434782608,0.21739130434782608,0.0,0.21739130434782608,0.13043478260869565,0.0,0.21739130434782608
frontalpole-rh,0.0,0.21739130434782608,0.21739130434782608,0.0,0.21739130434782608,0.13043478260869565,0.0,0.21739130434782608
inferiortemporal-lh,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
lateraloccipital-lh,0.05,0.15,0.15,0.0,0.25,0.25,0.0,0.15
middletemporal-lh,0.25,0.0625,0.0625,0.0,0.1875,0.375,0.0,0.0625
parahippocampal-lh,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
rostralanteriorcingulate-rh,0.0,0.21739130434782608,0.21739130434782608,0.0,0.21739130434782608,0.13043478260869565,0.0,0.21739130434782608
