,bankssts-rh,frontalpole-lh,frontalpole-rh,medialorbitofrontal-rh,parahippocampal-lh,pericalcarine-rh,rostralanteriorcingulate-lh,transversetemporal-rh
bankssts-rh,0.90625,0.078125,0.0,0.0,0.0,0.0,0.015625,0.0
frontalpole-lh,0.016042780748663103,0.47593582887700536,0.1925133689839572,0.053475935828877004,0.0,0.0,0.2620320855614973,0.0
frontalpole-rh,0.0,0.2857142857142857,0.5476190476190477,0.07142857142857142,0.0,0.0,0.09523809523809523,0.0
medialorbitofrontal-rh,0.0,0.05194805194805195,0.06493506493506493,0.8831168831168831,0.0,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.34306569343065696,0.10218978102189781,0.021897810218978103,0.0,0.0,0.5328467153284672,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
