,F4,Fp2,AF7,AF3,C2,FC4,F6,AF8
F4,0.6530612244897959,0.0,0.0,0.0,0.0,0.0,0.3469387755102041,0.0
Fp2,0.0,0.5396678966789668,0.3348708487084871,0.06642066420664207,0.0,0.0,0.0,0.05904059040590406
AF7,0.0,0.45987261146496816,0.46114649681528663,0.07898089171974522,0.0,0.0,0.0,0.0
AF3,0.0,0.22699386503067484,0.19631901840490798,0.5766871165644172,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.48928571428571427,0.0,0.0,0.0,0.0,0.0,0.5107142857142857,0.0
AF8,0.0,0.5039370078740157,0.0,0.0,0.0,0.0,0.0,0.49606299212598426
