,Fp1,TP9,Fp2,AF7,F6,AF8,AF4,F2
Fp1,0.4827586206896552,0.0,0.4942528735632184,0.022988505747126436,0.0,0.0,0.0,0.0
TP9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.4421052631578947,0.0,0.5368421052631579,0.021052631578947368,0.0,0.0,0.0,0.0
AF7,0.375,0.0,0.375,0.25,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
