,caudalmiddlefrontal-rh,cuneus-lh,frontalpole-lh,frontalpole-rh,insula-rh,parahippocampal-lh,parahippocampal-rh,rostralmiddlefrontal-lh
caudalmiddlefrontal-rh,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
frontalpole-rh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
insula-rh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
parahippocampal-lh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
parahippocampal-rh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
rostralmiddlefrontal-lh,0.0,0.0,0.15625,0.1875,0.15625,0.15625,0.1875,0.15625
