,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0970724191063174,0.10015408320493066,0.10015408320493066,0.0,0.0,0.0,0.10015408320493066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061633281972265024,0.0,0.007704160246533128,0.0,0.0,0.0970724191063174,0.08628659476117104,0.10015408320493066,0.08936825885978428,0.08782742681047766,0.0,0.0,0.0,0.0,0.05546995377503852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01386748844375963,0.0030816640986132513,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.07547169811320754,0.13089622641509435,0.125,0.0,0.0,0.0,0.10613207547169812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05070754716981132,0.0,0.00589622641509434,0.0,0.0,0.10849056603773585,0.07075471698113207,0.1214622641509434,0.07665094339622641,0.07311320754716981,0.0,0.0,0.0,0.0,0.04245283018867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01061320754716981,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.07256235827664399,0.1235827664399093,0.14285714285714285,0.0,0.0,0.0,0.1054421768707483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048752834467120185,0.0,0.005668934240362812,0.0,0.0,0.10884353741496598,0.06802721088435375,0.12131519274376418,0.07936507936507936,0.07029478458049887,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0022675736961451248,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.11207576953433307,0.0,0.055248618784530384,0.0,0.055248618784530384,0.0,0.042620363062352014,0.0,0.022099447513812154,0.0,0.05761641673243883,0.07576953433307025,0.0,0.04656669297553275,0.0,0.0,0.0473559589581689,0.0,0.0,0.006314127861089187,0.0,0.0,0.0,0.020520915548539857,0.022099447513812154,0.0,0.0,0.05919494869771113,0.0,0.028413575374901343,0.11365430149960537,0.0,0.0,0.0,0.0,0.0,0.05445935280189424,0.03472770323599053,0.0,0.027624309392265192,0.0,0.04104183109707971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025256511444356748,0.0,0.05209155485398579,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.06487488415199258,0.0,0.0639481000926784,0.0,0.06302131603336422,0.0,0.05004633920296571,0.0,0.025949953660797033,0.0,0.06487488415199258,0.06487488415199258,0.0,0.05468025949953661,0.0,0.0,0.05560704355885079,0.0,0.0,0.0074142724745134385,0.0,0.0,0.0,0.024096385542168676,0.025949953660797033,0.0,0.0,0.06487488415199258,0.0,0.033364226135310475,0.06487488415199258,0.0,0.0,0.0,0.0,0.0,0.05931417979610751,0.04077849860982391,0.0,0.03243744207599629,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029657089898053754,0.0,0.061167747914735865,0.0,0.0
T7,0.0,0.0,0.07901234567901234,0.11481481481481481,0.11481481481481481,0.0,0.0,0.0,0.11358024691358025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05308641975308642,0.0,0.006172839506172839,0.0,0.0,0.11234567901234568,0.07407407407407407,0.11481481481481481,0.08271604938271605,0.07654320987654321,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.06481481481481481,0.0,0.06481481481481481,0.0,0.06388888888888888,0.0,0.05,0.0,0.025925925925925925,0.0,0.06388888888888888,0.06481481481481481,0.0,0.05462962962962963,0.0,0.0,0.05555555555555555,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.024074074074074074,0.025925925925925925,0.0,0.0,0.06481481481481481,0.0,0.03333333333333333,0.06481481481481481,0.0,0.0,0.0,0.0,0.0,0.06018518518518518,0.040740740740740744,0.0,0.032407407407407406,0.0,0.04814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.0,0.06018518518518518,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.0,0.05844155844155844,0.0,0.05844155844155844,0.0,0.05735930735930736,0.0,0.030303030303030304,0.0,0.05844155844155844,0.05844155844155844,0.0,0.05627705627705628,0.0,0.0,0.05411255411255411,0.0,0.0,0.008658008658008658,0.0,0.0,0.0,0.02813852813852814,0.030303030303030304,0.0,0.0,0.05844155844155844,0.0,0.03896103896103896,0.05844155844155844,0.0,0.0,0.0,0.0,0.0,0.05735930735930736,0.045454545454545456,0.0,0.03787878787878788,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463203463203463,0.0,0.05844155844155844,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.05054151624548736,0.0,0.05054151624548736,0.0,0.05054151624548736,0.0,0.05054151624548736,0.0,0.048736462093862815,0.0,0.05054151624548736,0.05054151624548736,0.0,0.05054151624548736,0.0,0.0,0.05054151624548736,0.0,0.0,0.01444043321299639,0.0,0.0,0.0,0.036101083032490974,0.04151624548736462,0.0,0.0,0.05054151624548736,0.0,0.05054151624548736,0.05054151624548736,0.0,0.0,0.0,0.0,0.0,0.05054151624548736,0.05054151624548736,0.0,0.05054151624548736,0.0,0.05054151624548736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05054151624548736,0.0,0.05054151624548736,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.06734317343173432,0.0,0.06273062730627306,0.0,0.061808118081180814,0.0,0.04981549815498155,0.0,0.025830258302583026,0.0,0.06642066420664207,0.06457564575645756,0.0,0.0544280442804428,0.0,0.0,0.055350553505535055,0.0,0.0,0.007380073800738007,0.0,0.0,0.0,0.023985239852398525,0.025830258302583026,0.0,0.0,0.06457564575645756,0.0,0.033210332103321034,0.06734317343173432,0.0,0.0,0.0,0.0,0.0,0.058118081180811805,0.04059040590405904,0.0,0.03228782287822878,0.0,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02952029520295203,0.0,0.06088560885608856,0.0,0.0
