,T7,TP9,P7,Cz,Fp2,TP7,P5,PO7
T7,0.38461538461538464,0.0,0.2153846153846154,0.0,0.0,0.0,0.0,0.4
TP9,0.0,0.4883720930232558,0.0,0.0,0.0,0.0,0.5116279069767442,0.0
P7,0.34146341463414637,0.0,0.3170731707317073,0.0,0.0,0.0,0.0,0.34146341463414637
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.38596491228070173,0.0,0.0,0.0,0.0,0.6140350877192983,0.0
PO7,0.3333333333333333,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.48717948717948717
