,parsopercularis-lh,postcentral-lh,rostralmiddlefrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-rh
parsopercularis-lh,0.33962264150943394,0.0,0.0,0.1320754716981132,0.0,0.29245283018867924,0.11320754716981132,0.12264150943396226
postcentral-lh,0.0,0.4782608695652174,0.0,0.043478260869565216,0.391304347826087,0.08695652173913043,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.51,0.22,0.13,0.0,0.07,0.07
superiorparietal-lh,0.09333333333333334,0.0,0.16666666666666666,0.29333333333333333,0.06,0.09333333333333334,0.13333333333333333,0.16
superiorparietal-rh,0.0,0.08695652173913043,0.15942028985507245,0.10144927536231885,0.6086956521739131,0.043478260869565216,0.0,0.0
superiortemporal-lh,0.264,0.008,0.0,0.112,0.032,0.384,0.096,0.104
superiortemporal-rh,0.09917355371900827,0.0,0.0743801652892562,0.17355371900826447,0.0,0.09917355371900827,0.3884297520661157,0.1652892561983471
supramarginal-rh,0.10317460317460317,0.0,0.07142857142857142,0.20634920634920634,0.0,0.10317460317460317,0.1746031746031746,0.3412698412698413
