,cuneus-lh,lingual-rh,paracentral-lh,parstriangularis-lh,pericalcarine-lh,pericalcarine-rh,posteriorcingulate-rh,rostralanteriorcingulate-lh
cuneus-lh,0.6470588235294118,0.11764705882352941,0.0,0.0,0.0,0.23529411764705882,0.0,0.0
lingual-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
paracentral-lh,0.0,0.0,0.24,0.2,0.0,0.0,0.28,0.28
parstriangularis-lh,0.0,0.0,0.16666666666666666,0.3888888888888889,0.0,0.0,0.2222222222222222,0.2222222222222222
pericalcarine-lh,0.125,0.0,0.0,0.0,0.625,0.25,0.0,0.0
pericalcarine-rh,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
posteriorcingulate-rh,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.2692307692307692,0.2692307692307692
rostralanteriorcingulate-lh,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.2692307692307692,0.2692307692307692
