,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-rh,posteriorcingulate-lh,posteriorcingulate-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh
caudalanteriorcingulate-lh,0.13277574490329325,0.1301620491374804,0.11500261369576581,0.13068478829064298,0.1301620491374804,0.10716152639832724,0.12232096184004182,0.13173026659696813
caudalanteriorcingulate-rh,0.1321748288572933,0.13164823591363875,0.11321748288572933,0.13059505002632965,0.13164823591363875,0.10847814639283834,0.12111637704054766,0.13112164296998421
frontalpole-rh,0.12022160664819945,0.11689750692520776,0.16565096952908587,0.12022160664819945,0.11689750692520776,0.10858725761772853,0.13074792243767314,0.12077562326869806
posteriorcingulate-lh,0.13264248704663212,0.12901554404145077,0.11450777202072539,0.1316062176165803,0.12901554404145077,0.10829015544041451,0.12227979274611399,0.13264248704663212
posteriorcingulate-rh,0.13191489361702127,0.13138297872340426,0.11436170212765957,0.13031914893617022,0.13138297872340426,0.10797872340425532,0.12180851063829787,0.13085106382978723
rostralanteriorcingulate-lh,0.1186726659167604,0.11923509561304838,0.11023622047244094,0.12092238470191226,0.11754780652418448,0.17097862767154107,0.12092238470191226,0.12148481439820022
rostralanteriorcingulate-rh,0.125,0.12286324786324786,0.1282051282051282,0.12606837606837606,0.12232905982905982,0.11271367521367522,0.1362179487179487,0.1266025641025641
rostralmiddlefrontal-lh,0.1325115562403698,0.12891628145865433,0.1140215716486903,0.1314843348741654,0.12840267077555212,0.10785824345146379,0.12223934257832562,0.13456599897277863
