,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-rh
caudalmiddlefrontal-rh,0.4230769230769231,0.0,0.0,0.33653846153846156,0.019230769230769232,0.22115384615384615,0.0,0.0
parsopercularis-lh,0.0,0.52,0.24,0.0,0.0,0.0,0.0,0.24
parstriangularis-rh,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.3
rostralmiddlefrontal-rh,0.3723404255319149,0.0,0.0,0.3723404255319149,0.0,0.2553191489361702,0.0,0.0
superiorfrontal-lh,0.047619047619047616,0.0,0.047619047619047616,0.023809523809523808,0.6428571428571429,0.19047619047619047,0.0,0.047619047619047616
superiorparietal-lh,0.16778523489932887,0.0,0.0,0.18120805369127516,0.040268456375838924,0.4697986577181208,0.08053691275167785,0.06040268456375839
superiorparietal-rh,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.6296296296296297,0.0
superiortemporal-rh,0.0,0.14285714285714285,0.2597402597402597,0.0,0.012987012987012988,0.14285714285714285,0.0,0.44155844155844154
