,Fp1,Fz,P3,Fp2,AF7,AFz,F6,AF8
Fp1,0.36363636363636365,0.4090909090909091,0.06818181818181818,0.1590909090909091,0.0,0.0,0.0,0.0
Fz,0.3617021276595745,0.425531914893617,0.06382978723404255,0.14893617021276595,0.0,0.0,0.0,0.0
P3,0.26666666666666666,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.0,0.0
Fp2,0.3181818181818182,0.3181818181818182,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
