,CP1,P7,O1,Oz,AF7,F1,PO7,PO3
CP1,0.3125,0.0,0.0,0.0,0.0,0.0,0.34375,0.34375
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.358974358974359,0.38461538461538464
PO3,0.19607843137254902,0.0,0.0,0.0,0.0,0.0,0.27450980392156865,0.5294117647058824
