,CP1,P7,O1,Oz,AF7,F1,PO7,PO3
CP1,0.5555555555555556,0.017676767676767676,0.0,0.0,0.0,0.0,0.3813131313131313,0.045454545454545456
P7,0.02040816326530612,0.4523809523809524,0.0,0.0,0.0,0.0,0.12585034013605442,0.4013605442176871
O1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.3456221198156682,0.08064516129032258,0.0,0.0,0.0,0.0,0.4631336405529954,0.11059907834101383
PO3,0.04145077720207254,0.3005181347150259,0.0,0.0,0.0,0.0,0.11917098445595854,0.538860103626943
