,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P8,TP10,CP6,Cz,T8,FT10,FC2,F4,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,C6,C2,FC4,AF8,AF4,F2,FCz
Fz,0.08303249097472924,0.032490974729241874,0.0,0.0,0.0,0.061371841155234655,0.05415162454873646,0.0,0.0,0.0,0.05054151624548736,0.04332129963898917,0.0,0.0,0.07581227436823104,0.05054151624548736,0.0,0.08303249097472924,0.0,0.06859205776173286,0.0,0.018050541516245487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036101083032490974,0.036101083032490974,0.0,0.0,0.0,0.08303249097472924,0.0,0.0,0.0,0.08303249097472924,0.0,0.01444043321299639,0.0,0.010830324909747292,0.0,0.0,0.0,0.07220216606498195,0.04332129963898917,0.0,0.0,0.0,0.0
F3,0.11224489795918367,0.11224489795918367,0.0,0.0,0.0,0.030612244897959183,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.12244897959183673,0.0,0.09183673469387756,0.0,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.09183673469387756,0.0,0.01020408163265306,0.0,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.12244897959183673,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.045180722891566265,0.0030120481927710845,0.0,0.0,0.0,0.12349397590361445,0.05120481927710843,0.0,0.0,0.0,0.05421686746987952,0.06325301204819277,0.0,0.0,0.07228915662650602,0.018072289156626505,0.0,0.0572289156626506,0.0,0.10240963855421686,0.0,0.015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06325301204819277,0.030120481927710843,0.0,0.0,0.0,0.06626506024096386,0.0,0.0,0.0,0.11144578313253012,0.0,0.015060240963855422,0.0,0.015060240963855422,0.0,0.0,0.0,0.08132530120481928,0.012048192771084338,0.0,0.0,0.0,0.0
C3,0.05803571428571429,0.0,0.0,0.0,0.0,0.07589285714285714,0.07142857142857142,0.0,0.0,0.0,0.07589285714285714,0.06696428571428571,0.0,0.0,0.07589285714285714,0.017857142857142856,0.0,0.07589285714285714,0.0,0.07589285714285714,0.0,0.022321428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05803571428571429,0.044642857142857144,0.0,0.0,0.0,0.07589285714285714,0.0,0.0,0.0,0.07589285714285714,0.0,0.022321428571428572,0.0,0.022321428571428572,0.0,0.0,0.0,0.07589285714285714,0.008928571428571428,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.061224489795918366,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.0,0.061224489795918366,0.0,0.0,0.061224489795918366,0.061224489795918366,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.061224489795918366,0.0,0.061224489795918366,0.0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.0,0.0,0.061224489795918366,0.0,0.0,0.02040816326530612
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.05240174672489083,0.0,0.0,0.0,0.0,0.07860262008733625,0.06550218340611354,0.0,0.0,0.0,0.07423580786026202,0.07423580786026202,0.0,0.0,0.07860262008733625,0.013100436681222707,0.0,0.06986899563318777,0.0,0.07860262008733625,0.0,0.021834061135371178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06550218340611354,0.043668122270742356,0.0,0.0,0.0,0.07860262008733625,0.0,0.0,0.0,0.07860262008733625,0.0,0.021834061135371178,0.0,0.021834061135371178,0.0,0.0,0.0,0.07860262008733625,0.004366812227074236,0.0,0.0,0.0,0.0
Pz,0.04201680672268908,0.0,0.0,0.0,0.0,0.08823529411764706,0.0546218487394958,0.0,0.0,0.0,0.06302521008403361,0.08403361344537816,0.0,0.0,0.07983193277310924,0.004201680672268907,0.0,0.058823529411764705,0.0,0.08823529411764706,0.0,0.02100840336134454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08403361344537816,0.04201680672268908,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.08823529411764706,0.0,0.02100840336134454,0.0,0.02100840336134454,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0658682634730539,0.0658682634730539,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0658682634730539,0.029940119760479042,0.059880239520958084,0.0,0.0718562874251497,0.0,0.0,0.0718562874251497,0.0718562874251497,0.0,0.0,0.0,0.0718562874251497,0.0,0.0,0.0718562874251497,0.0,0.0658682634730539,0.0,0.0718562874251497,0.05389221556886228,0.041916167664670656,0.0,0.0,0.029940119760479042,0.0,0.0,0.059880239520958084
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0658682634730539,0.0658682634730539,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0658682634730539,0.029940119760479042,0.059880239520958084,0.0,0.0718562874251497,0.0,0.0,0.0718562874251497,0.0718562874251497,0.0,0.0,0.0,0.0718562874251497,0.0,0.0,0.0718562874251497,0.0,0.0658682634730539,0.0,0.0718562874251497,0.05389221556886228,0.041916167664670656,0.0,0.0,0.029940119760479042,0.0,0.0,0.059880239520958084
Oz,0.05740181268882175,0.015105740181268883,0.0,0.0,0.0,0.07854984894259819,0.0513595166163142,0.0,0.0,0.0,0.054380664652567974,0.0634441087613293,0.0,0.0,0.08459214501510574,0.030211480362537766,0.0,0.06948640483383686,0.0,0.08459214501510574,0.0,0.015105740181268883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05740181268882175,0.030211480362537766,0.0,0.0,0.0,0.07854984894259819,0.0,0.0,0.0,0.08761329305135952,0.0,0.015105740181268883,0.0,0.015105740181268883,0.0,0.0,0.0,0.08761329305135952,0.02416918429003021,0.0,0.0,0.0,0.0
O2,0.08602150537634409,0.06451612903225806,0.0,0.0,0.0,0.043010752688172046,0.03225806451612903,0.0,0.0,0.0,0.026881720430107527,0.016129032258064516,0.0,0.0,0.06451612903225806,0.10752688172043011,0.0,0.07526881720430108,0.0,0.053763440860215055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.005376344086021506,0.0,0.07526881720430108,0.0,0.026881720430107527,0.0,0.07526881720430108,0.021505376344086023,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.05913978494623656,0.08602150537634409,0.0,0.0,0.0,0.010752688172043012
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.06774193548387097,0.02258064516129032,0.0,0.0,0.0,0.06774193548387097,0.054838709677419356,0.0,0.0,0.0,0.05806451612903226,0.05161290322580645,0.0,0.0,0.08064516129032258,0.03870967741935484,0.0,0.08064516129032258,0.0,0.07419354838709677,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04516129032258064,0.03225806451612903,0.0,0.0,0.0,0.08387096774193549,0.0,0.0,0.0,0.08387096774193549,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0,0.0,0.0,0.07741935483870968,0.03225806451612903,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.049707602339181284,0.008771929824561403,0.0,0.0,0.0,0.10526315789473684,0.049707602339181284,0.0,0.0,0.0,0.05263157894736842,0.06140350877192982,0.0,0.0,0.07602339181286549,0.023391812865497075,0.0,0.06140350877192982,0.0,0.1023391812865497,0.0,0.014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06140350877192982,0.029239766081871343,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.0,0.1023391812865497,0.0,0.014619883040935672,0.0,0.014619883040935672,0.0,0.0,0.0,0.0847953216374269,0.017543859649122806,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0
FT10,0.05405405405405406,0.0,0.0,0.0,0.0,0.06756756756756757,0.06756756756756757,0.0,0.0,0.0,0.06756756756756757,0.06756756756756757,0.0,0.0,0.06756756756756757,0.0,0.0,0.06756756756756757,0.0,0.06756756756756757,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.05405405405405406,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.06756756756756757,0.0,0.05405405405405406,0.0,0.04054054054054054,0.0,0.0,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
