,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.06466512702078522,0.0,0.0,0.0,0.06235565819861432,0.0,0.0,0.06004618937644342,0.0,0.0,0.050808314087759814,0.0,0.0,0.0,0.011547344110854504,0.0,0.03233256351039261,0.018475750577367205,0.03695150115473441,0.0,0.006928406466512702,0.04387990762124711,0.0,0.050808314087759814,0.04849884526558892,0.0,0.04849884526558892,0.0,0.0,0.0,0.06697459584295612,0.06466512702078522,0.0,0.053117782909930716,0.0,0.0,0.0,0.0,0.06004618937644342,0.04387990762124711,0.04849884526558892,0.0,0.0,0.020785219399538105,0.0,0.0,0.06235565819861432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04387990762124711,0.0,0.0,0.0,0.0
Fz,0.0,0.05116959064327485,0.0043859649122807015,0.03654970760233918,0.0,0.01023391812865497,0.04532163742690058,0.0,0.054093567251461985,0.0029239766081871343,0.0029239766081871343,0.0,0.021929824561403508,0.01608187134502924,0.013157894736842105,0.04532163742690058,0.008771929824561403,0.0,0.0,0.05263157894736842,0.01608187134502924,0.0,0.017543859649122806,0.0,0.005847953216374269,0.0043859649122807015,0.0014619883040935672,0.023391812865497075,0.04532163742690058,0.05116959064327485,0.0,0.0,0.04093567251461988,0.0,0.04824561403508772,0.023391812865497075,0.03216374269005848,0.054093567251461985,0.0,0.0014619883040935672,0.0014619883040935672,0.023391812865497075,0.011695906432748537,0.0,0.0,0.033625730994152045,0.0,0.023391812865497075,0.008771929824561403,0.01023391812865497,0.0,0.008771929824561403,0.04678362573099415,0.0,0.01023391812865497,0.01023391812865497,0.038011695906432746,0.0,0.0,0.0,0.019005847953216373,0.023391812865497075
F7,0.0,0.007751937984496124,0.05426356589147287,0.0,0.023255813953488372,0.0,0.0,0.03875968992248062,0.031007751937984496,0.0,0.06201550387596899,0.0,0.007751937984496124,0.0,0.06201550387596899,0.0,0.06201550387596899,0.0,0.0,0.007751937984496124,0.06201550387596899,0.0,0.0,0.0,0.06201550387596899,0.0,0.05426356589147287,0.046511627906976744,0.0,0.05426356589147287,0.0,0.0,0.0,0.0,0.046511627906976744,0.015503875968992248,0.0,0.015503875968992248,0.0,0.05426356589147287,0.05426356589147287,0.03875968992248062,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06201550387596899,0.06201550387596899
FT9,0.0,0.04710144927536232,0.0,0.043478260869565216,0.0,0.012681159420289856,0.04710144927536232,0.0,0.04710144927536232,0.0036231884057971015,0.0,0.0,0.02355072463768116,0.018115942028985508,0.010869565217391304,0.04710144927536232,0.005434782608695652,0.0,0.0,0.04710144927536232,0.014492753623188406,0.0,0.021739130434782608,0.0,0.0018115942028985507,0.005434782608695652,0.0,0.02355072463768116,0.04528985507246377,0.04528985507246377,0.0,0.0,0.04528985507246377,0.0,0.041666666666666664,0.02355072463768116,0.03804347826086957,0.04710144927536232,0.0,0.0,0.0,0.02355072463768116,0.014492753623188406,0.0,0.0,0.03985507246376811,0.0,0.02717391304347826,0.010869565217391304,0.012681159420289856,0.0,0.010869565217391304,0.04710144927536232,0.0,0.010869565217391304,0.012681159420289856,0.041666666666666664,0.0,0.0,0.0,0.018115942028985508,0.02355072463768116
FC5,0.05330882352941176,0.0,0.001838235294117647,0.0,0.07904411764705882,0.0,0.0,0.07169117647058823,0.0,0.0,0.051470588235294115,0.0,0.0,0.0,0.02022058823529412,0.0,0.03676470588235294,0.014705882352941176,0.029411764705882353,0.0,0.016544117647058824,0.04044117647058824,0.0,0.04044117647058824,0.051470588235294115,0.0,0.04963235294117647,0.0,0.0,0.001838235294117647,0.06433823529411764,0.05698529411764706,0.0,0.042279411764705885,0.0,0.0,0.0,0.0,0.04779411764705882,0.04595588235294118,0.04963235294117647,0.0,0.0,0.016544117647058824,0.0,0.0,0.07169117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034926470588235295,0.0,0.0,0.007352941176470588,0.003676470588235294
FC1,0.0,0.03278688524590164,0.0,0.03278688524590164,0.0,0.028688524590163935,0.03278688524590164,0.0,0.03278688524590164,0.00819672131147541,0.0,0.0,0.03278688524590164,0.03278688524590164,0.004098360655737705,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.012295081967213115,0.0,0.03278688524590164,0.0,0.0,0.012295081967213115,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.03278688524590164,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.0,0.0,0.03278688524590164,0.0,0.03278688524590164,0.02459016393442623,0.028688524590163935,0.0,0.02459016393442623,0.03278688524590164,0.0,0.020491803278688523,0.028688524590163935,0.03278688524590164,0.0,0.0,0.0,0.020491803278688523,0.03278688524590164
C3,0.0,0.049635036496350364,0.00145985401459854,0.0364963503649635,0.0,0.010218978102189781,0.051094890510948905,0.0,0.052554744525547446,0.00291970802919708,0.0,0.0,0.020437956204379562,0.017518248175182483,0.010218978102189781,0.051094890510948905,0.00583941605839416,0.0,0.0,0.05401459854014599,0.013138686131386862,0.0,0.017518248175182483,0.0,0.00291970802919708,0.004379562043795621,0.0,0.020437956204379562,0.051094890510948905,0.04525547445255475,0.0,0.0,0.04525547445255475,0.0,0.042335766423357665,0.020437956204379562,0.035036496350364967,0.05401459854014599,0.0,0.0,0.0,0.020437956204379562,0.01167883211678832,0.0,0.0,0.03941605839416058,0.0,0.027737226277372264,0.008759124087591242,0.010218978102189781,0.0,0.008759124087591242,0.051094890510948905,0.0,0.016058394160583942,0.010218978102189781,0.043795620437956206,0.0,0.0,0.0,0.016058394160583942,0.020437956204379562
T7,0.0497335701598579,0.0,0.0053285968028419185,0.0,0.07282415630550622,0.0,0.0,0.07104795737122557,0.0,0.0,0.05328596802841918,0.0,0.0,0.0,0.023090586145648313,0.0,0.03907637655417407,0.014209591474245116,0.02664298401420959,0.0,0.019538188277087035,0.03907637655417407,0.0,0.03907637655417407,0.05150976909413854,0.0,0.05150976909413854,0.003552397868561279,0.0,0.0053285968028419185,0.055062166962699825,0.05328596802841918,0.0,0.04085257548845471,0.003552397868561279,0.0,0.0,0.0,0.04440497335701599,0.047957371225577264,0.05150976909413854,0.0017761989342806395,0.0,0.015985790408525755,0.0,0.0,0.06927175843694494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03374777975133215,0.0,0.0,0.010657193605683837,0.007104795737122558
TP9,0.0,0.04603580562659847,0.0076726342710997444,0.0319693094629156,0.0,0.008951406649616368,0.04219948849104859,0.0025575447570332483,0.058823529411764705,0.0025575447570332483,0.00639386189258312,0.0,0.01918158567774936,0.015345268542199489,0.015345268542199489,0.04219948849104859,0.011508951406649617,0.0,0.0,0.052429667519181586,0.017902813299232736,0.0,0.015345268542199489,0.0,0.008951406649616368,0.0038363171355498722,0.005115089514066497,0.024296675191815855,0.04219948849104859,0.054987212276214836,0.0,0.0,0.03836317135549872,0.0,0.04859335038363171,0.020460358056265986,0.030690537084398978,0.05754475703324808,0.0,0.005115089514066497,0.005115089514066497,0.024296675191815855,0.010230179028132993,0.0,0.0,0.0319693094629156,0.0,0.023017902813299233,0.0076726342710997444,0.008951406649616368,0.0,0.0076726342710997444,0.043478260869565216,0.0,0.011508951406649617,0.008951406649616368,0.03580562659846547,0.0,0.0,0.0,0.020460358056265986,0.024296675191815855
CP5,0.0,0.031578947368421054,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.021052631578947368,0.0,0.0,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.0,0.0,0.0,0.031578947368421054,0.0,0.0,0.031578947368421054,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.0,0.0,0.031578947368421054,0.031578947368421054,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.0,0.031578947368421054,0.031578947368421054,0.031578947368421054,0.0,0.0,0.0,0.0,0.031578947368421054
