,FT9,CP1,FC6,AF7,AF3,AFz,AF8,AF4
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.5842105263157895,0.0,0.0,0.0,0.0,0.41578947368421054,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.5015873015873016,0.0,0.0,0.0,0.0,0.4984126984126984,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
