,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.05112781954887218,0.0,0.0,0.0,0.0,0.03458646616541353,0.04360902255639098,0.016541353383458645,0.0,0.016541353383458645,0.0,0.0,0.016541353383458645,0.0,0.0,0.042105263157894736,0.05263157894736842,0.0,0.039097744360902256,0.012030075187969926,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.04962406015037594,0.0,0.0,0.012030075187969926,0.05263157894736842,0.0,0.05112781954887218,0.0,0.0,0.05112781954887218,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.0,0.016541353383458645,0.0,0.0,0.03759398496240601,0.05413533834586466,0.016541353383458645,0.0,0.0030075187969924814,0.016541353383458645,0.0,0.04661654135338346,0.016541353383458645,0.009022556390977444,0.022556390977443608,0.05263157894736842,0.04962406015037594,0.0
Fz,0.0,0.036016949152542374,0.036016949152542374,0.034957627118644065,0.036016949152542374,0.0,0.0,0.0,0.03548728813559322,0.0,0.03548728813559322,0.03548728813559322,0.0,0.0,0.03336864406779661,0.0,0.0,0.034427966101694914,0.0,0.0,0.03336864406779661,0.036016949152542374,0.0,0.03548728813559322,0.034427966101694914,0.03548728813559322,0.03548728813559322,0.0,0.036016949152542374,0.03548728813559322,0.0,0.0,0.034957627118644065,0.0,0.030190677966101694,0.0,0.0,0.0,0.036016949152542374,0.03389830508474576,0.034957627118644065,0.03072033898305085,0.022775423728813558,0.03389830508474576,0.0,0.006885593220338983,0.0,0.034957627118644065,0.03548728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.030190677966101694,0.0,0.0,0.0,0.0,0.0,0.0,0.036016949152542374
F3,0.0,0.03466386554621849,0.03623949579831933,0.03466386554621849,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.03413865546218487,0.03623949579831933,0.0,0.0,0.03308823529411765,0.0,0.0,0.03571428571428571,0.0,0.0,0.03466386554621849,0.03466386554621849,0.0,0.03571428571428571,0.03361344537815126,0.03571428571428571,0.0351890756302521,0.0,0.03623949579831933,0.03623949579831933,0.0,0.0,0.03413865546218487,0.0,0.029936974789915968,0.0,0.0,0.0,0.03623949579831933,0.0351890756302521,0.03623949579831933,0.03046218487394958,0.022584033613445378,0.032563025210084036,0.0,0.006827731092436975,0.0,0.03623949579831933,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.02888655462184874,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
FT9,0.0,0.03511615343057806,0.03565640194489465,0.03511615343057806,0.03565640194489465,0.0,0.0,0.0,0.03565640194489465,0.0,0.03457590491626148,0.03565640194489465,0.0,0.0,0.03403565640194489,0.0,0.0,0.03511615343057806,0.0,0.0,0.03403565640194489,0.03511615343057806,0.0,0.03565640194489465,0.03403565640194489,0.03565640194489465,0.03565640194489465,0.0,0.03565640194489465,0.03565640194489465,0.0,0.0,0.03457590491626148,0.0,0.03079416531604538,0.0,0.0,0.0,0.03565640194489465,0.03457590491626148,0.03565640194489465,0.031334413830361965,0.023230686115613183,0.032955159373311727,0.0,0.007023230686115613,0.0,0.03565640194489465,0.03565640194489465,0.0,0.0,0.0,0.0,0.0,0.0,0.029173419773095625,0.0,0.0,0.0,0.0,0.0,0.0,0.03565640194489465
FC5,0.0,0.03477344573234984,0.03635405690200211,0.03477344573234984,0.03582718651211802,0.0,0.0,0.0,0.03582718651211802,0.0,0.03424657534246575,0.03635405690200211,0.0,0.0,0.033192834562697573,0.0,0.0,0.03530031612223393,0.0,0.0,0.03424657534246575,0.03477344573234984,0.0,0.03582718651211802,0.03371970495258166,0.03582718651211802,0.03530031612223393,0.0,0.03635405690200211,0.03635405690200211,0.0,0.0,0.03424657534246575,0.0,0.030031612223393046,0.0,0.0,0.0,0.03635405690200211,0.03477344573234984,0.03582718651211802,0.030558482613277135,0.022655426765015807,0.032665964172813484,0.0,0.00684931506849315,0.0,0.03582718651211802,0.03635405690200211,0.0,0.0,0.0,0.0,0.0,0.0,0.02897787144362487,0.0,0.0,0.0,0.0,0.0,0.0,0.03582718651211802
FC1,0.03459119496855346,0.0,0.0,0.0,0.0,0.06132075471698113,0.055031446540880505,0.015723270440251572,0.0,0.015723270440251572,0.0,0.0,0.015723270440251572,0.0,0.0,0.05817610062893082,0.06446540880503145,0.0,0.04874213836477988,0.012578616352201259,0.0,0.0,0.025157232704402517,0.0,0.0,0.0,0.0,0.04245283018867924,0.0,0.0,0.012578616352201259,0.04559748427672956,0.0,0.040880503144654086,0.0,0.0,0.055031446540880505,0.04716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.015723270440251572,0.0,0.0,0.025157232704402517,0.050314465408805034,0.015723270440251572,0.0,0.0031446540880503146,0.015723270440251572,0.0,0.04559748427672956,0.015723270440251572,0.009433962264150943,0.050314465408805034,0.036163522012578615,0.06132075471698113,0.0
C3,0.036855036855036855,0.0,0.0,0.0,0.0,0.044226044226044224,0.07493857493857493,0.006142506142506142,0.0,0.006142506142506142,0.0,0.0,0.006142506142506142,0.0,0.0,0.06142506142506143,0.06633906633906633,0.0,0.06511056511056511,0.006142506142506142,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.056511056511056514,0.0,0.0,0.006142506142506142,0.05405405405405406,0.0,0.05036855036855037,0.0,0.0,0.06142506142506143,0.044226044226044224,0.0,0.0,0.0,0.0,0.0,0.0,0.030712530712530713,0.0,0.006142506142506142,0.0,0.0,0.02334152334152334,0.051597051597051594,0.006142506142506142,0.0,0.002457002457002457,0.006142506142506142,0.0,0.038083538083538086,0.006142506142506142,0.006142506142506142,0.03931203931203931,0.038083538083538086,0.05896805896805897,0.0
T7,0.035842293906810034,0.0,0.0,0.0,0.0,0.03225806451612903,0.014336917562724014,0.05017921146953405,0.0,0.053763440860215055,0.0,0.0,0.04659498207885305,0.0,0.0,0.021505376344086023,0.035842293906810034,0.0,0.0035842293906810036,0.02867383512544803,0.0,0.0,0.017921146953405017,0.0,0.0,0.0,0.0,0.02867383512544803,0.0,0.0,0.02867383512544803,0.035842293906810034,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.043010752688172046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05017921146953405,0.0,0.0,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.0,0.007168458781362007,0.05017921146953405,0.0,0.043010752688172046,0.043010752688172046,0.021505376344086023,0.05017921146953405,0.035842293906810034,0.02867383512544803,0.0
TP9,0.0,0.03461128860489883,0.0362087326943557,0.03461128860489883,0.03567625133120341,0.0,0.0,0.0,0.03567625133120341,0.0,0.03407880724174654,0.0362087326943557,0.0,0.0,0.03354632587859425,0.0,0.0,0.03567625133120341,0.0,0.0,0.03461128860489883,0.03461128860489883,0.0,0.03567625133120341,0.03354632587859425,0.03567625133120341,0.03514376996805112,0.0,0.0362087326943557,0.0362087326943557,0.0,0.0,0.03407880724174654,0.0,0.03035143769968051,0.0,0.0,0.0,0.0362087326943557,0.03514376996805112,0.0362087326943557,0.0308839190628328,0.022896698615548456,0.03248136315228967,0.0,0.006922257720979766,0.0,0.0362087326943557,0.0362087326943557,0.0,0.0,0.0,0.0,0.0,0.0,0.02875399361022364,0.0,0.0,0.0,0.0,0.0,0.0,0.03567625133120341
CP5,0.033112582781456956,0.0,0.0,0.0,0.0,0.029801324503311258,0.013245033112582781,0.046357615894039736,0.0,0.12582781456953643,0.0,0.0,0.04304635761589404,0.0,0.0,0.019867549668874173,0.033112582781456956,0.0,0.0033112582781456954,0.026490066225165563,0.0,0.0,0.016556291390728478,0.0,0.0,0.0,0.0,0.026490066225165563,0.0,0.0,0.026490066225165563,0.033112582781456956,0.0,0.029801324503311258,0.0,0.0,0.029801324503311258,0.039735099337748346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046357615894039736,0.0,0.0,0.039735099337748346,0.039735099337748346,0.039735099337748346,0.0,0.006622516556291391,0.046357615894039736,0.0,0.039735099337748346,0.039735099337748346,0.019867549668874173,0.046357615894039736,0.033112582781456956,0.026490066225165563,0.0
