,Fp1,TP9,P7,O1,O2,F8,Fp2,AF7
Fp1,0.38076923076923075,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,0.33076923076923076
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.2534722222222222,0.0,0.0,0.0,0.0,0.0,0.3715277777777778,0.375
AF7,0.22163588390501318,0.0,0.0,0.0,0.0,0.0,0.2849604221635884,0.49340369393139843
