,caudalmiddlefrontal-rh,inferiorparietal-rh,postcentral-lh,postcentral-rh,superiorparietal-lh,superiorparietal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-rh,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285
inferiorparietal-rh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
postcentral-lh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
postcentral-rh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
superiorparietal-lh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
superiorparietal-rh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
supramarginal-lh,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285
supramarginal-rh,0.0625,0.125,0.125,0.1875,0.125,0.1875,0.0625,0.125
