,Fp1,Fz,FC2,F4,F5,FC4,FT8,F2
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.25,0.17857142857142858,0.2857142857142857,0.2857142857142857
FC4,0.0,0.0,0.0,0.0,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.2608695652173913
FT8,0.0,0.0,0.0,0.0,0.22580645161290322,0.16129032258064516,0.3225806451612903,0.2903225806451613
F2,0.0,0.0,0.0,0.0,0.22580645161290322,0.16129032258064516,0.3225806451612903,0.2903225806451613
