,cuneus-lh,frontalpole-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,lingual-lh,pericalcarine-lh,pericalcarine-rh,temporalpole-lh
cuneus-lh,0.5789473684210527,0.0,0.13157894736842105,0.0,0.2894736842105263,0.0,0.0,0.0
frontalpole-rh,0.0,0.5416666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.125,0.10416666666666667,0.4375,0.20833333333333334,0.125,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.2777777777777778,0.2222222222222222,0.5,0.0,0.0,0.0,0.0
lingual-lh,0.3783783783783784,0.0,0.1891891891891892,0.0,0.43243243243243246,0.0,0.0,0.0
pericalcarine-lh,0.0,0.0,0.0,0.0,0.0,0.72,0.28,0.0
pericalcarine-rh,0.0,0.0,0.03125,0.0,0.09375,0.15625,0.71875,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
