,caudalmiddlefrontal-lh,parstriangularis-rh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-lh,0.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0
parstriangularis-rh,0.0,0.56,0.0,0.0,0.0,0.16,0.2,0.08
precentral-rh,0.15,0.0,0.4,0.1,0.05,0.3,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.0,0.0
rostralmiddlefrontal-rh,0.030303030303030304,0.0,0.09090909090909091,0.12121212121212122,0.3939393939393939,0.36363636363636365,0.0,0.0
superiortemporal-lh,0.057692307692307696,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.40384615384615385,0.0,0.0
superiortemporal-rh,0.07692307692307693,0.19230769230769232,0.0,0.0,0.0,0.0,0.7307692307692307,0.0
supramarginal-lh,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
