,frontalpole-lh,insula-lh,insula-rh,isthmuscingulate-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-lh
frontalpole-lh,0.15053763440860216,0.16129032258064516,0.15591397849462366,0.16129032258064516,0.15591397849462366,0.16129032258064516,0.053763440860215055,0.0
insula-lh,0.06292134831460675,0.2247191011235955,0.14831460674157304,0.1707865168539326,0.14382022471910114,0.20449438202247192,0.0449438202247191,0.0
insula-rh,0.056925996204933584,0.14041745730550284,0.1840607210626186,0.1840607210626186,0.18026565464895636,0.14800759013282733,0.0967741935483871,0.009487666034155597
isthmuscingulate-rh,0.05555555555555555,0.15555555555555556,0.1648148148148148,0.19814814814814816,0.16111111111111112,0.17962962962962964,0.07962962962962963,0.005555555555555556
parahippocampal-rh,0.05825242718446602,0.13980582524271845,0.18446601941747573,0.18446601941747573,0.18058252427184465,0.14757281553398058,0.09514563106796116,0.009708737864077669
rostralanteriorcingulate-lh,0.06072874493927125,0.19433198380566802,0.1417004048582996,0.18016194331983806,0.13765182186234817,0.23684210526315788,0.048582995951417005,0.0
rostralanteriorcingulate-rh,0.04081632653061224,0.08163265306122448,0.17201166180758018,0.14868804664723032,0.1661807580174927,0.09329446064139942,0.27405247813411077,0.023323615160349854
temporalpole-lh,0.0,0.0,0.2,0.14285714285714285,0.2,0.02857142857142857,0.22857142857142856,0.2
