,parstriangularis-rh,postcentral-rh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-rh
parstriangularis-rh,0.4230769230769231,0.0,0.0,0.19230769230769232,0.0,0.0,0.23076923076923078,0.15384615384615385
postcentral-rh,0.0,0.6071428571428571,0.07142857142857142,0.0,0.32142857142857145,0.0,0.0,0.0
precentral-rh,0.0,0.075,0.575,0.0,0.275,0.05,0.0,0.025
rostralmiddlefrontal-lh,0.2631578947368421,0.0,0.0,0.42105263157894735,0.0,0.0,0.21052631578947367,0.10526315789473684
rostralmiddlefrontal-rh,0.0,0.1794871794871795,0.23076923076923078,0.0,0.5384615384615384,0.05128205128205128,0.0,0.0
superiortemporal-lh,0.0,0.02631578947368421,0.10526315789473684,0.0,0.07894736842105263,0.6578947368421053,0.0,0.13157894736842105
superiortemporal-rh,0.19444444444444445,0.0,0.0,0.1111111111111111,0.0,0.0,0.4722222222222222,0.2222222222222222
supramarginal-rh,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.2222222222222222,0.5
