,frontalpole-lh,frontalpole-rh,insula-lh,lateraloccipital-rh,medialorbitofrontal-lh,rostralanteriorcingulate-lh,superiorparietal-rh,transversetemporal-rh
frontalpole-lh,0.5954198473282443,0.0,0.11450381679389313,0.0,0.061068702290076333,0.1297709923664122,0.09923664122137404,0.0
frontalpole-rh,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
insula-lh,0.10891089108910891,0.0,0.8712871287128713,0.0,0.019801980198019802,0.0,0.0,0.0
lateraloccipital-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.13333333333333333,0.0,0.08888888888888889,0.0,0.7777777777777778,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.2923076923076923,0.0,0.0,0.0,0.0,0.38461538461538464,0.3230769230769231,0.0
superiorparietal-rh,0.2459016393442623,0.03278688524590164,0.0,0.0,0.0,0.36065573770491804,0.36065573770491804,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
