,cuneus-lh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lingual-rh,pericalcarine-lh,pericalcarine-rh,temporalpole-lh
cuneus-lh,0.5625,0.0,0.0,0.0,0.15625,0.0,0.28125,0.0
frontalpole-lh,0.0,0.7021276595744681,0.23404255319148937,0.0,0.0,0.0,0.0,0.06382978723404255
frontalpole-rh,0.0,0.2653061224489796,0.7346938775510204,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,0.0
lingual-rh,0.15384615384615385,0.0,0.0,0.0,0.5769230769230769,0.0,0.2692307692307692,0.0
pericalcarine-lh,0.0,0.0,0.0,0.3469387755102041,0.0,0.5918367346938775,0.061224489795918366,0.0
pericalcarine-rh,0.27419354838709675,0.0,0.0,0.0,0.27419354838709675,0.016129032258064516,0.43548387096774194,0.0
temporalpole-lh,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.9655172413793104
