,CP5,P7,O1,P8,Fp2,CP3,P5,PO7
CP5,0.3279569892473118,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3387096774193548
P7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.2767857142857143,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.36607142857142855
PO7,0.2683982683982684,0.0,0.0,0.0,0.0,0.0,0.35064935064935066,0.38095238095238093
