,frontalpole-rh,inferiortemporal-rh,insula-rh,lateralorbitofrontal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-lh
frontalpole-rh,0.5471698113207547,0.009433962264150943,0.0,0.0,0.10377358490566038,0.0,0.33962264150943394,0.0
inferiortemporal-rh,0.031055900621118012,0.5093167701863354,0.0,0.0,0.45962732919254656,0.0,0.0,0.0
insula-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.0,0.0,0.7375,0.0,0.0,0.0,0.2625
parahippocampal-rh,0.09146341463414634,0.4268292682926829,0.0,0.0,0.4817073170731707,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.7349397590361446,0.20481927710843373,0.060240963855421686
rostralanteriorcingulate-rh,0.24427480916030533,0.0,0.0,0.0,0.0,0.09923664122137404,0.6564885496183206,0.0
temporalpole-lh,0.0,0.0,0.0,0.1650485436893204,0.0,0.08737864077669903,0.0,0.7475728155339806
