,F7,Pz,P4,CP2,AF3,P2,CPz,FCz
F7,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
Pz,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
P4,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
CP2,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CPz,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
FCz,0.16,0.17,0.17,0.17,0.0,0.0,0.17,0.16
