,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.046831955922865015,0.0,0.05234159779614325,0.013774104683195593,0.008264462809917356,0.0440771349862259,0.046831955922865015,0.0440771349862259,0.0,0.0440771349862259,0.0,0.046831955922865015,0.005509641873278237,0.0,0.0,0.046831955922865015,0.02203856749311295,0.0440771349862259,0.0,0.04132231404958678,0.005509641873278237,0.0027548209366391185,0.049586776859504134,0.005509641873278237,0.0,0.0,0.011019283746556474,0.008264462809917356,0.0,0.0,0.049586776859504134,0.0,0.0,0.0027548209366391185,0.049586776859504134,0.046831955922865015,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.005509641873278237,0.005509641873278237,0.0027548209366391185,0.0,0.005509641873278237,0.0,0.0,0.046831955922865015,0.0,0.0,0.0027548209366391185,0.046831955922865015,0.046831955922865015,0.049586776859504134,0.0,0.005509641873278237,0.0,0.0,0.0,0.0027548209366391185,0.030303030303030304,0.0027548209366391185
F3,0.0,0.036036036036036036,0.0,0.006006006006006006,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.03903903903903904,0.0,0.02702702702702703,0.042042042042042045,0.0,0.0,0.0,0.0,0.021021021021021023,0.0,0.042042042042042045,0.042042042042042045,0.0,0.042042042042042045,0.042042042042042045,0.036036036036036036,0.0,0.0,0.0,0.003003003003003003,0.0,0.042042042042042045,0.042042042042042045,0.042042042042042045,0.0,0.0,0.042042042042042045,0.042042042042042045,0.042042042042042045,0.015015015015015015,0.0,0.036036036036036036,0.02702702702702703,0.0,0.042042042042042045,0.021021021021021023,0.0,0.042042042042042045,0.0,0.042042042042042045,0.0,0.0,0.0,0.042042042042042045,0.012012012012012012,0.0,0.0,0.018018018018018018,0.012012012012012012,0.0,0.042042042042042045
F7,0.03501945525291829,0.0,0.05642023346303502,0.011673151750972763,0.005836575875486381,0.04669260700389105,0.05642023346303502,0.033073929961089495,0.0,0.048638132295719845,0.0,0.054474708171206226,0.005836575875486381,0.0019455252918287938,0.0,0.05058365758754864,0.01556420233463035,0.0311284046692607,0.0,0.029182879377431907,0.005836575875486381,0.0038910505836575876,0.058365758754863814,0.005836575875486381,0.0019455252918287938,0.0,0.007782101167315175,0.005836575875486381,0.0,0.0019455252918287938,0.048638132295719845,0.0,0.0,0.0038910505836575876,0.05058365758754864,0.03501945525291829,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876,0.005836575875486381,0.005836575875486381,0.0038910505836575876,0.0,0.0038910505836575876,0.0019455252918287938,0.0,0.048638132295719845,0.0,0.0,0.0038910505836575876,0.05642023346303502,0.05252918287937743,0.054474708171206226,0.0019455252918287938,0.005836575875486381,0.0,0.0,0.0,0.0038910505836575876,0.023346303501945526,0.0038910505836575876
FT9,0.013452914798206279,0.017937219730941704,0.017937219730941704,0.04035874439461883,0.0,0.008968609865470852,0.008968609865470852,0.008968609865470852,0.0,0.004484304932735426,0.008968609865470852,0.008968609865470852,0.03587443946188341,0.026905829596412557,0.0,0.008968609865470852,0.0,0.017937219730941704,0.0,0.008968609865470852,0.03587443946188341,0.03139013452914798,0.013452914798206279,0.03587443946188341,0.026905829596412557,0.013452914798206279,0.0,0.0,0.0,0.017937219730941704,0.017937219730941704,0.02242152466367713,0.013452914798206279,0.03139013452914798,0.013452914798206279,0.013452914798206279,0.03139013452914798,0.03139013452914798,0.03139013452914798,0.03587443946188341,0.02242152466367713,0.03139013452914798,0.017937219730941704,0.0,0.026905829596412557,0.004484304932735426,0.008968609865470852,0.013452914798206279,0.0,0.03139013452914798,0.008968609865470852,0.008968609865470852,0.013452914798206279,0.026905829596412557,0.03587443946188341,0.0,0.0,0.0,0.03139013452914798,0.03139013452914798,0.03139013452914798
FC5,0.04395604395604396,0.0,0.04395604395604396,0.01098901098901099,0.03296703296703297,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.0,0.04395604395604396,0.0,0.04395604395604396,0.0,0.0,0.0,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.0,0.04395604395604396,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.04395604395604396,0.03296703296703297,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.04395604395604396,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0
FC1,0.039301310043668124,0.0,0.05895196506550218,0.008733624454148471,0.006550218340611353,0.05240174672489083,0.056768558951965066,0.03711790393013101,0.0,0.05458515283842795,0.0,0.056768558951965066,0.002183406113537118,0.0,0.0,0.056768558951965066,0.017467248908296942,0.03275109170305677,0.0,0.03275109170305677,0.002183406113537118,0.0,0.05895196506550218,0.002183406113537118,0.0,0.0,0.008733624454148471,0.006550218340611353,0.0,0.0,0.05240174672489083,0.0,0.0,0.0,0.056768558951965066,0.039301310043668124,0.0,0.0,0.0,0.002183406113537118,0.002183406113537118,0.0,0.0,0.004366812227074236,0.0,0.0,0.05458515283842795,0.0,0.0,0.0,0.056768558951965066,0.056768558951965066,0.05895196506550218,0.0,0.002183406113537118,0.0,0.0,0.0,0.0,0.021834061135371178,0.0
C3,0.03130434782608696,0.0,0.05217391304347826,0.006956521739130435,0.0052173913043478265,0.04521739130434783,0.07478260869565218,0.029565217391304348,0.0,0.06434782608695652,0.0,0.07130434782608695,0.0017391304347826088,0.0,0.0,0.06434782608695652,0.01391304347826087,0.02608695652173913,0.0,0.02608695652173913,0.0017391304347826088,0.0,0.07652173913043478,0.0017391304347826088,0.0,0.0,0.006956521739130435,0.0052173913043478265,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.04869565217391304,0.03130434782608696,0.0,0.0,0.0,0.0017391304347826088,0.0017391304347826088,0.0,0.0,0.0034782608695652175,0.0,0.0,0.04869565217391304,0.0,0.0,0.0,0.07478260869565218,0.06956521739130435,0.05217391304347826,0.0,0.0017391304347826088,0.0,0.0,0.0,0.0,0.017391304347826087,0.0
T7,0.04956268221574344,0.0,0.052478134110787174,0.011661807580174927,0.008746355685131196,0.04664723032069971,0.04956268221574344,0.04664723032069971,0.0,0.04664723032069971,0.0,0.04956268221574344,0.0029154518950437317,0.0,0.0,0.04956268221574344,0.023323615160349854,0.043731778425655975,0.0,0.043731778425655975,0.0029154518950437317,0.0,0.052478134110787174,0.0029154518950437317,0.0,0.0,0.011661807580174927,0.008746355685131196,0.0,0.0,0.04956268221574344,0.0,0.0,0.0,0.052478134110787174,0.04956268221574344,0.0,0.0,0.0,0.0029154518950437317,0.0029154518950437317,0.0,0.0,0.0058309037900874635,0.0,0.0,0.04956268221574344,0.0,0.0,0.0,0.04956268221574344,0.04956268221574344,0.052478134110787174,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.029154518950437316,0.0
TP9,0.006211180124223602,0.024844720496894408,0.006211180124223602,0.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.037267080745341616,0.006211180124223602,0.037267080745341616,0.006211180124223602,0.0,0.043478260869565216,0.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.024844720496894408,0.006211180124223602,0.037267080745341616,0.043478260869565216,0.006211180124223602,0.037267080745341616,0.031055900621118012,0.024844720496894408,0.006211180124223602,0.006211180124223602,0.0,0.0,0.006211180124223602,0.043478260869565216,0.037267080745341616,0.037267080745341616,0.006211180124223602,0.006211180124223602,0.043478260869565216,0.031055900621118012,0.043478260869565216,0.0,0.0,0.018633540372670808,0.018633540372670808,0.006211180124223602,0.043478260869565216,0.018633540372670808,0.006211180124223602,0.031055900621118012,0.0,0.031055900621118012,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.043478260869565216,0.0,0.0,0.0,0.037267080745341616,0.0,0.0,0.037267080745341616
CP5,0.031135531135531136,0.0,0.05311355311355311,0.005494505494505495,0.005494505494505495,0.047619047619047616,0.07326007326007326,0.031135531135531136,0.0,0.06593406593406594,0.0,0.07142857142857142,0.0,0.0,0.0,0.06776556776556776,0.014652014652014652,0.02564102564102564,0.0,0.027472527472527472,0.0,0.0,0.07326007326007326,0.0,0.0,0.0,0.007326007326007326,0.005494505494505495,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.04945054945054945,0.031135531135531136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.07326007326007326,0.07142857142857142,0.05311355311355311,0.0,0.0,0.0,0.0,0.0,0.0,0.016483516483516484,0.0
