,entorhinal-lh,frontalpole-rh,inferiorparietal-rh,insula-lh,isthmuscingulate-rh,lateraloccipital-rh,parahippocampal-lh,pericalcarine-rh
entorhinal-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
inferiorparietal-rh,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
insula-lh,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.2608695652173913,0.21739130434782608
lateraloccipital-rh,0.025,0.025,0.15,0.0,0.0,0.6,0.0,0.2
parahippocampal-lh,0.0,0.0,0.0,0.34375,0.125,0.0,0.5,0.03125
pericalcarine-rh,0.0,0.0,0.08823529411764706,0.0,0.2647058823529412,0.11764705882352941,0.08823529411764706,0.4411764705882353
